offset,dtype,value,confidence,reason
56346,float64,5.999999999999994,0.5,finite furniture-like float64
56378,float64,5.999999999999994,0.5,finite furniture-like float64
56490,float64,5.999999999999997,0.5,finite furniture-like float64
56546,float64,5.999999999999994,0.5,finite furniture-like float64
56570,float64,5.999999999999994,0.5,finite furniture-like float64
56602,float64,5.999999999999994,0.5,finite furniture-like float64
56714,float64,5.999999999999994,0.5,finite furniture-like float64
56738,float64,5.999999999999997,0.5,finite furniture-like float64
56770,float64,5.999999999999997,0.5,finite furniture-like float64
56878,float64,5.999999999999999,0.5,finite furniture-like float64
56902,float64,0.9999999999999999,0.5,finite furniture-like float64
56930,float64,5.999999999999997,0.5,finite furniture-like float64
56954,float64,6.000000000000001,0.5,finite furniture-like float64
56978,float64,6.0000000000000036,0.5,finite furniture-like float64
57002,float64,6.000000000000005,0.5,finite furniture-like float64
57026,float64,6.000000000000007,0.5,finite furniture-like float64
57050,float64,6.000000000000008,0.5,finite furniture-like float64
57082,float64,6.000000000000008,0.5,finite furniture-like float64
57158,float64,0.9999999999999999,0.5,finite furniture-like float64
57338,float64,6.000000000000008,0.5,finite furniture-like float64
57362,float64,6.000000000000004,0.5,finite furniture-like float64
57394,float64,6.000000000000004,0.5,finite furniture-like float64
57506,float64,6.000000000000004,0.5,finite furniture-like float64
57530,float64,5.999999999999997,0.5,finite furniture-like float64
101427,float64,-18.0000000000107,0.5,finite furniture-like float64
101476,float64,-2.0000000000005684,0.5,finite furniture-like float64
101478,float64,99.0,0.5,finite furniture-like float64
101607,float64,-1.0,0.5,finite furniture-like float64
101624,float64,1.0,0.5,finite furniture-like float64
101641,float64,2.0,0.5,finite furniture-like float64
101762,float64,-1.0,0.5,finite furniture-like float64
101779,float64,1.0,0.5,finite furniture-like float64
101796,float64,2.0,0.5,finite furniture-like float64
101917,float64,-1.0,0.5,finite furniture-like float64
101934,float64,5.0,0.5,finite furniture-like float64
101951,float64,18.000000000011354,0.5,finite furniture-like float64
102002,float64,-2.0000000000005684,0.5,finite furniture-like float64
102021,float64,8.000000000003979,0.5,finite furniture-like float64
102038,float64,-1.0,0.5,finite furniture-like float64
102089,float64,8.0,0.5,finite furniture-like float64
102106,float64,11.0,0.5,finite furniture-like float64
102323,float64,1.0,0.5,finite furniture-like float64
102363,float64,1.0,0.5,finite furniture-like float64
102403,float64,1.0,0.5,finite furniture-like float64
102443,float64,1.0,0.5,finite furniture-like float64
102666,float64,-608.0,0.5,finite furniture-like float64
105578,float64,-608.0,0.5,finite furniture-like float64
115931,float64,-2.000000000036338,0.5,finite furniture-like float64
115933,float64,99.00000000000001,0.5,finite furniture-like float64
115957,float64,1.0,0.5,finite furniture-like float64
115983,float64,-2.000000000036338,0.5,finite furniture-like float64
115985,float64,99.00000000000001,0.5,finite furniture-like float64
116007,float64,-2.0000000000363913,0.5,finite furniture-like float64
116009,float64,99.00000000000001,0.5,finite furniture-like float64
116031,float64,-2.000000000036397,0.5,finite furniture-like float64
116033,float64,99.00000000000001,0.5,finite furniture-like float64
116055,float64,-2.000000000036399,0.5,finite furniture-like float64
116057,float64,99.00000000000001,0.5,finite furniture-like float64
116079,float64,-2.0000000000363984,0.5,finite furniture-like float64
116081,float64,99.00000000000001,0.5,finite furniture-like float64
116103,float64,-2.000000000036395,0.5,finite furniture-like float64
116105,float64,99.00000000000001,0.5,finite furniture-like float64
116127,float64,-2.0000000000363847,0.5,finite furniture-like float64
116129,float64,99.00000000000001,0.5,finite furniture-like float64
116151,float64,-2.000000000050936,0.5,finite furniture-like float64
116153,float64,99.00000000000001,0.5,finite furniture-like float64
116175,float64,-2.000000000050947,0.5,finite furniture-like float64
116177,float64,99.00000000000001,0.5,finite furniture-like float64
116199,float64,-2.0000000000509504,0.5,finite furniture-like float64
116201,float64,99.00000000000001,0.5,finite furniture-like float64
116223,float64,-2.000000000050951,0.5,finite furniture-like float64
116225,float64,99.00000000000001,0.5,finite furniture-like float64
116247,float64,-2.0000000000509486,0.5,finite furniture-like float64
116249,float64,99.00000000000001,0.5,finite furniture-like float64
116271,float64,-2.000000000050943,0.5,finite furniture-like float64
116273,float64,99.00000000000001,0.5,finite furniture-like float64
116295,float64,-2.000000000036338,0.5,finite furniture-like float64
116297,float64,99.00000000000001,0.5,finite furniture-like float64
116351,float64,-2.000000000036338,0.5,finite furniture-like float64
116353,float64,99.00000000000001,0.5,finite furniture-like float64
116405,float64,1.0,0.5,finite furniture-like float64
116771,float64,-2.000000000036338,0.5,finite furniture-like float64
116773,float64,99.00000000000001,0.5,finite furniture-like float64
116797,float64,-1.0,0.5,finite furniture-like float64
116823,float64,-2.000000000036338,0.5,finite furniture-like float64
116825,float64,99.00000000000001,0.5,finite furniture-like float64
116847,float64,-2.0000000000509366,0.5,finite furniture-like float64
116849,float64,99.00000000000001,0.5,finite furniture-like float64
116871,float64,-2.00000000005094,0.5,finite furniture-like float64
116873,float64,99.00000000000001,0.5,finite furniture-like float64
